Lat,Long,Temp,Pressure,Wind_Speed,Wind_Degrees,Unix Time
28.351,-96.006,86.32,1013,11.48,158,1630800000
28.351,-96.006,85.69,1013,12.88,162,1630803600
28.351,-96.006,85.64,1013,13.73,167,1630807200
28.351,-96.006,85.32,1014,13.38,172,1630810800
28.351,-96.006,85.3,1014,12.77,171,1630814400
28.351,-96.006,85.28,1013,13.35,178,1630818000
28.351,-96.006,85.24,1013,13.96,183,1630821600
28.351,-96.006,84.92,1013,14.67,187,1630825200
28.351,-96.006,84.94,1013,14.27,196,1630828800
28.351,-96.006,84.63,1013,12.97,207,1630832400
28.351,-96.006,84.6,1012,12.1,216,1630836000
28.351,-96.006,84.27,1013,11.41,222,1630839600
28.351,-96.006,83.97,1013,10.47,222,1630843200
28.351,-96.006,83.08,1014,9.53,225,1630846800
28.351,-96.006,85.35,1014,8.72,229,1630850400
28.351,-96.006,86.61,1015,7.87,233,1630854000
28.351,-96.006,86.99,1015,7.4,231,1630857600
28.351,-96.006,87.33,1015,7.45,229,1630861200
28.351,-96.006,89.2,1014,7.16,231,1630864800
28.351,-96.006,88.86,1013,6.51,224,1630868400
28.351,-96.006,89.13,1013,6.85,207,1630872000
28.351,-96.006,87.28,1013,9.93,151,1630713600
28.351,-96.006,85.71,1013,11.74,158,1630717200
28.351,-96.006,85.42,1013,13.31,154,1630720800
28.351,-96.006,85.3,1014,14.07,155,1630724400
28.351,-96.006,85.32,1014,14.97,162,1630728000
28.351,-96.006,85.14,1014,15.79,166,1630731600
28.351,-96.006,85.03,1014,15.43,171,1630735200
28.351,-96.006,85.14,1014,14.88,173,1630738800
28.351,-96.006,84.99,1013,14.63,180,1630742400
28.351,-96.006,85.24,1013,14.61,190,1630746000
28.351,-96.006,83.71,1013,12.8,195,1630749600
28.351,-96.006,83.68,1014,9.53,198,1630753200
28.351,-96.006,83.66,1014,7.99,187,1630756800
28.351,-96.006,84.92,1014,7.34,182,1630760400
28.351,-96.006,86.32,1015,6.22,175,1630764000
28.351,-96.006,87.26,1015,5.7,159,1630767600
28.351,-96.006,88.65,1015,5.84,157,1630771200
28.351,-96.006,89.29,1015,5.82,145,1630774800
28.351,-96.006,88.29,1014,6.04,148,1630778400
28.351,-96.006,87.94,1014,7.25,147,1630782000
28.351,-96.006,88.83,1014,7.56,152,1630785600
28.351,-96.006,89.46,1013,8.21,146,1630789200
28.351,-96.006,88.81,1013,8.88,153,1630792800
28.351,-96.006,88.16,1013,10.0,155,1630796400
28.351,-96.006,87.53,1011,11.65,130,1630627200
28.351,-96.006,85.68,1011,11.34,131,1630630800
28.351,-96.006,85.35,1012,10.92,127,1630634400
28.351,-96.006,85.08,1012,11.83,132,1630638000
28.351,-96.006,85.06,1012,12.44,130,1630641600
28.351,-96.006,85.05,1012,12.46,138,1630645200
28.351,-96.006,84.94,1013,12.03,135,1630648800
28.351,-96.006,84.92,1012,11.32,141,1630652400
28.351,-96.006,84.96,1012,10.22,141,1630656000
28.351,-96.006,85.17,1012,10.13,154,1630659600
28.351,-96.006,83.21,1012,9.64,164,1630663200
28.351,-96.006,81.07,1012,8.88,179,1630666800
28.351,-96.006,82.33,1013,8.14,188,1630670400
28.351,-96.006,83.55,1013,6.8,189,1630674000
28.351,-96.006,84.76,1014,6.51,177,1630677600
28.351,-96.006,86.63,1014,7.47,181,1630681200
28.351,-96.006,85.59,1014,7.02,180,1630684800
28.351,-96.006,86.79,1015,5.79,179,1630688400
28.351,-96.006,87.44,1014,7.36,190,1630692000
28.351,-96.006,88.5,1014,7.83,186,1630695600
28.351,-96.006,87.87,1013,8.43,187,1630699200
28.351,-96.006,89.94,1013,8.32,183,1630702800
28.351,-96.006,88.23,1013,8.75,178,1630706400
28.351,-96.006,87.91,1013,9.26,167,1630710000
28.351,-96.006,86.31,1009,11.27,156,1630540800
28.351,-96.006,86.02,1009,11.99,153,1630544400
28.351,-96.006,85.98,1010,12.46,154,1630548000
28.351,-96.006,85.69,1010,12.28,146,1630551600
28.351,-96.006,85.96,1010,13.51,140,1630555200
28.351,-96.006,85.37,1010,14.29,149,1630558800
28.351,-96.006,85.44,1010,13.15,154,1630562400
28.351,-96.006,85.42,1010,12.73,156,1630566000
28.351,-96.006,85.42,1010,12.46,158,1630569600
28.351,-96.006,85.05,1010,10.96,158,1630573200
28.351,-96.006,85.05,1010,8.46,160,1630576800
28.351,-96.006,85.01,1011,6.69,155,1630580400
28.351,-96.006,84.72,1011,7.58,142,1630584000
28.351,-96.006,85.08,1012,9.22,148,1630587600
28.351,-96.006,86.18,1012,8.68,143,1630591200
28.351,-96.006,87.39,1013,7.2,138,1630594800
28.351,-96.006,87.19,1013,6.13,149,1630598400
28.351,-96.006,87.19,1013,6.24,146,1630602000
28.351,-96.006,89.15,1013,6.08,141,1630605600
28.351,-96.006,90.16,1013,6.22,129,1630609200
28.351,-96.006,89.22,1012,7.09,118,1630612800
28.351,-96.006,89.37,1012,8.66,116,1630616400
28.351,-96.006,89.13,1011,9.6,113,1630620000
28.351,-96.006,88.81,1011,11.34,122,1630623600
28.351,-96.006,87.51,1007,11.18,161,1630454400
28.351,-96.006,87.26,1007,12.15,157,1630458000
28.351,-96.006,86.86,1008,13.06,155,1630461600
28.351,-96.006,85.71,1008,13.8,159,1630465200
28.351,-96.006,86.0,1009,14.34,166,1630468800
28.351,-96.006,86.0,1008,14.79,172,1630472400
28.351,-96.006,85.71,1009,15.86,171,1630476000
28.351,-96.006,85.66,1008,16.4,174,1630479600
28.351,-96.006,85.64,1008,16.67,176,1630483200
28.351,-96.006,85.64,1008,16.89,178,1630486800
28.351,-96.006,85.42,1008,15.39,184,1630490400
28.351,-96.006,85.42,1008,14.03,189,1630494000
28.351,-96.006,85.3,1009,13.4,193,1630497600
28.351,-96.006,85.42,1010,11.88,191,1630501200
28.351,-96.006,86.63,1010,10.02,196,1630504800
28.351,-96.006,87.01,1010,8.3,190,1630508400
28.351,-96.006,87.62,1011,8.99,187,1630512000
28.351,-96.006,88.79,1011,8.88,181,1630515600
28.351,-96.006,87.98,1010,9.1,194,1630519200
28.351,-96.006,87.37,1010,9.35,196,1630522800
28.351,-96.006,90.64,1010,9.01,192,1630526400
28.351,-96.006,87.6,1009,9.17,187,1630530000
28.351,-96.006,87.58,1009,8.9,177,1630533600
28.351,-96.006,86.95,1009,9.98,165,1630537200
28.842,-94.242,85.77,1013,6.6,189,1630800000
28.842,-94.242,85.69,1013,8.41,192,1630803600
28.842,-94.242,85.71,1013,10.04,199,1630807200
28.842,-94.242,85.71,1014,10.76,201,1630810800
28.842,-94.242,85.5,1014,10.76,205,1630814400
28.842,-94.242,85.32,1013,10.25,207,1630818000
28.842,-94.242,85.46,1013,11.1,211,1630821600
28.842,-94.242,85.53,1013,11.39,217,1630825200
28.842,-94.242,85.41,1013,10.87,225,1630828800
28.842,-94.242,85.48,1013,9.93,234,1630832400
28.842,-94.242,85.39,1013,9.64,248,1630836000
28.842,-94.242,85.37,1013,9.04,261,1630839600
28.842,-94.242,85.55,1013,8.01,260,1630843200
28.842,-94.242,85.57,1014,7.92,253,1630846800
28.842,-94.242,85.57,1014,8.1,256,1630850400
28.842,-94.242,85.42,1015,7.36,263,1630854000
28.842,-94.242,85.6,1015,6.82,264,1630857600
28.842,-94.242,84.81,1014,6.69,263,1630861200
28.842,-94.242,85.1,1014,7.76,269,1630864800
28.842,-94.242,85.41,1014,8.01,275,1630868400
28.842,-94.242,85.21,1013,6.85,276,1630872000
28.842,-94.242,85.78,1013,4.52,170,1630713600
28.842,-94.242,85.62,1013,5.08,171,1630717200
28.842,-94.242,85.48,1014,6.22,176,1630720800
28.842,-94.242,85.26,1014,6.91,179,1630724400
28.842,-94.242,84.88,1014,8.03,179,1630728000
28.842,-94.242,84.87,1014,9.6,185,1630731600
28.842,-94.242,85.14,1014,10.74,197,1630735200
28.842,-94.242,84.7,1014,9.35,202,1630738800
28.842,-94.242,84.54,1014,6.73,210,1630742400
28.842,-94.242,84.47,1014,5.26,213,1630746000
28.842,-94.242,84.6,1014,6.42,225,1630749600
28.842,-94.242,84.97,1014,5.91,231,1630753200
28.842,-94.242,84.99,1015,6.38,231,1630756800
28.842,-94.242,84.9,1015,5.1,237,1630760400
28.842,-94.242,84.85,1015,4.43,246,1630764000
28.842,-94.242,84.96,1015,4.34,248,1630767600
28.842,-94.242,84.97,1015,3.62,255,1630771200
28.842,-94.242,84.97,1015,4.63,257,1630774800
28.842,-94.242,85.19,1015,3.27,274,1630778400
28.842,-94.242,85.32,1014,3.38,265,1630782000
28.842,-94.242,85.33,1014,2.64,253,1630785600
28.842,-94.242,85.51,1013,3.04,215,1630789200
28.842,-94.242,85.51,1013,3.8,200,1630792800
28.842,-94.242,85.59,1013,5.68,201,1630796400
28.842,-94.242,85.05,1012,9.06,147,1630627200
28.842,-94.242,85.1,1012,7.99,136,1630630800
28.842,-94.242,85.1,1013,8.75,123,1630634400
28.842,-94.242,85.05,1013,10.18,124,1630638000
28.842,-94.242,85.05,1013,10.49,124,1630641600
28.842,-94.242,84.88,1013,10.04,131,1630645200
28.842,-94.242,85.28,1013,10.38,145,1630648800
28.842,-94.242,85.28,1013,9.37,143,1630652400
28.842,-94.242,85.37,1013,9.13,147,1630656000
28.842,-94.242,85.35,1013,8.28,151,1630659600
28.842,-94.242,85.3,1013,7.38,155,1630663200
28.842,-94.242,84.74,1013,7.14,150,1630666800
28.842,-94.242,84.56,1014,7.27,169,1630670400
28.842,-94.242,84.78,1014,6.2,179,1630674000
28.842,-94.242,84.51,1014,4.5,188,1630677600
28.842,-94.242,84.4,1015,4.76,197,1630681200
28.842,-94.242,84.74,1015,3.78,211,1630684800
28.842,-94.242,84.78,1015,3.49,208,1630688400
28.842,-94.242,84.51,1015,6.93,217,1630692000
28.842,-94.242,84.06,1014,3.94,220,1630695600
28.842,-94.242,84.78,1014,1.99,184,1630699200
28.842,-94.242,85.41,1013,4.25,176,1630702800
28.842,-94.242,85.89,1013,4.92,173,1630706400
28.842,-94.242,85.95,1013,5.84,176,1630710000
28.842,-94.242,85.87,1010,8.84,185,1630540800
28.842,-94.242,85.57,1010,8.61,184,1630544400
28.842,-94.242,85.35,1010,8.34,178,1630548000
28.842,-94.242,85.3,1012,6.15,159,1630551600
28.842,-94.242,85.17,1011,8.5,175,1630555200
28.842,-94.242,85.23,1011,7.25,159,1630558800
28.842,-94.242,85.57,1011,8.88,164,1630562400
28.842,-94.242,85.57,1011,10.13,181,1630566000
28.842,-94.242,85.57,1011,7.96,182,1630569600
28.842,-94.242,85.46,1011,8.59,185,1630573200
28.842,-94.242,85.41,1011,7.83,196,1630576800
28.842,-94.242,85.41,1011,6.26,194,1630580400
28.842,-94.242,85.37,1012,4.74,169,1630584000
28.842,-94.242,85.33,1012,4.9,163,1630587600
28.842,-94.242,84.87,1013,3.65,135,1630591200
28.842,-94.242,84.72,1013,6.49,133,1630594800
28.842,-94.242,85.62,1014,6.22,125,1630598400
28.842,-94.242,86.41,1014,8.03,131,1630602000
28.842,-94.242,86.18,1014,7.7,134,1630605600
28.842,-94.242,85.66,1013,8.59,134,1630609200
28.842,-94.242,85.21,1013,8.93,139,1630612800
28.842,-94.242,84.88,1012,9.01,143,1630616400
28.842,-94.242,84.97,1012,8.23,147,1630620000
28.842,-94.242,84.88,1012,8.7,139,1630623600
28.842,-94.242,86.45,1008,10.33,191,1630454400
28.842,-94.242,86.45,1008,11.27,185,1630458000
28.842,-94.242,86.38,1008,12.68,186,1630461600
28.842,-94.242,86.29,1009,12.48,185,1630465200
28.842,-94.242,86.32,1009,11.74,183,1630468800
28.842,-94.242,86.2,1009,12.66,187,1630472400
28.842,-94.242,86.23,1009,14.18,188,1630476000
28.842,-94.242,86.0,1009,15.55,191,1630479600
28.842,-94.242,85.86,1009,15.08,194,1630483200
28.842,-94.242,85.86,1009,13.11,200,1630486800
28.842,-94.242,85.8,1009,11.97,205,1630490400
28.842,-94.242,85.75,1009,11.54,205,1630494000
28.842,-94.242,85.89,1009,10.45,206,1630497600
