City Name,Temperature,Pressure,Wind Degrees,Wind_Speed
Brownwood,86.25,1014,170,16.11
Brownwood,80.71,1015,180,8.05
Brownwood,77.34,1015,140,4.61
Brownwood,75.79,1016,0,0.0
Brownwood,74.26,1016,0,0.0
Brownwood,73.78,1016,0,0.0
Brownwood,72.39,1016,0,0.0
Brownwood,71.01,1016,0,0.0
Brownwood,71.22,1014,183,3.6
Brownwood,69.49,1015,310,3.44
Brownwood,68.99,1015,0,0.0
Brownwood,68.83,1016,280,3.44
Brownwood,67.64,1016,0,0.0
Brownwood,68.85,1016,0,0.0
Brownwood,76.14,1017,0,0.0
Brownwood,82.53,1015,310,10.36
Brownwood,83.59,1015,20,3.44
Brownwood,81.57,1016,30,3.44
Brownwood,80.26,1016,30,3.44
Brownwood,78.67,1017,360,4.61
Brownwood,77.14,1017,0,0.0
Brownwood,76.89,1017,310,3.44
Brownwood,74.05,1017,200,5.75
Brownwood,75.36,1017,0,0.0
Brownwood,75.36,1017,0,0.0
Brownwood,74.03,1017,0,0.0
Brownwood,74.03,1017,0,0.0
Brownwood,72.23,1018,0,0.0
Brownwood,74.03,1018,0,0.0
Brownwood,80.01,1018,60,3.44
Brownwood,82.56,1018,80,4.61
Brownwood,85.89,1018,70,4.61
Brownwood,89.04,1018,30,4.61
Brownwood,91.27,1017,310,4.61
Brownwood,91.78,1016,40,3.44
Brownwood,93.31,1015,50,9.22
Brownwood,93.31,1014,60,6.91
Brownwood,93.29,1013,10,3.44
Brownwood,91.29,1013,70,6.91
Brownwood,93.61,1012,90,5.75
Brownwood,89.53,1012,90,4.61
Brownwood,85.68,1013,80,6.91
Brownwood,82.56,1014,100,3.44
Brownwood,81.03,1014,140,5.75
Brownwood,80.8,1015,140,4.61
Brownwood,78.17,1015,120,5.75
Brownwood,77.92,1014,140,5.75
Brownwood,76.77,1014,150,3.44
Brownwood,76.03,1014,0,0.0
Brownwood,72.91,1014,0,0.0
Brownwood,70.03,1015,0,0.0
Brownwood,69.33,1015,0,0.0
Brownwood,70.9,1016,0,0.0
Brownwood,78.35,1016,250,3.44
Brownwood,86.14,1017,270,11.5
Brownwood,89.49,1017,300,10.36
Brownwood,91.27,1017,320,10.36
Brownwood,93.34,1016,310,11.5
Brownwood,94.87,1016,320,10.36
Brownwood,96.19,1015,350,10.36
Brownwood,94.91,1014,360,14.97
Brownwood,92.66,1013,20,13.8
Brownwood,87.44,1012,345,22.35
Brownwood,93.29,1012,120,10.36
Brownwood,89.56,1012,110,6.91
Brownwood,84.96,1013,110,3.44
Brownwood,83.23,1014,130,5.75
Brownwood,83.07,1015,130,9.22
Brownwood,82.29,1015,150,11.5
Brownwood,80.82,1015,150,8.05
Brownwood,80.42,1015,150,8.05
Brownwood,78.17,1015,170,6.91
Brownwood,76.84,1015,140,3.44
Brownwood,74.28,1015,120,5.75
Brownwood,74.43,1015,150,5.75
Brownwood,74.28,1015,160,5.75
Brownwood,74.43,1016,170,3.44
Brownwood,79.38,1016,190,4.61
Brownwood,84.13,1016,190,11.5
Brownwood,87.15,1017,190,9.22
Brownwood,91.11,1016,180,10.36
Brownwood,93.96,1015,160,6.91
Brownwood,95.32,1015,210,6.91
Brownwood,96.44,1014,160,6.91
Brownwood,98.26,1013,0,0.0
Brownwood,96.69,1012,140,8.05
Brownwood,96.94,1012,130,5.75
Brownwood,93.47,1011,140,11.5
Brownwood,89.92,1011,140,10.36
Brownwood,84.99,1013,130,6.91
Brownwood,83.26,1013,130,8.05
Brownwood,82.71,1014,130,6.91
Brownwood,82.94,1014,150,13.8
Brownwood,82.29,1015,160,8.05
Brownwood,80.76,1015,150,8.05
Brownwood,78.89,1015,150,5.75
Brownwood,77.07,1015,140,5.75
Brownwood,75.81,1015,140,6.91
Brownwood,75.31,1015,140,5.75
Brownwood,74.43,1015,140,4.61
Brownwood,75.49,1016,150,4.61
Brownwood,79.03,1016,160,9.22
Brownwood,82.92,1017,210,11.5
Brownwood,86.65,1017,170,8.05
Brownwood,89.87,1016,220,10.36
Brownwood,91.92,1016,210,6.91
Brownwood,93.78,1015,120,5.75
Brownwood,94.48,1014,110,6.91
Brownwood,96.15,1013,100,10.36
Brownwood,95.31,1013,150,5.75
Brownwood,95.31,1012,180,6.91
Baytown,86.9,1011,86,4.63
Baytown,84.96,1011,80,5.28
